centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
0-5%,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,131,2456.2500000000045
0-5%,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,134,2512.5000000000045
0-5%,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,115,2156.250000000004
0-5%,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,124,2325.0000000000045
0-5%,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,112,2099.9999999999864
0-5%,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,162,3037.500000000006
0-5%,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,134,2512.5000000000045
0-5%,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,124,2325.0000000000045
0-5%,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,122,2287.4999999999854
0-5%,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,123,2306.2500000000045
0-5%,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,128,2400.0000000000045
0-5%,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,123,2306.2500000000045
0-5%,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,125,2343.749999999985
0-5%,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,137,2568.750000000005
0-5%,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,120,2250.000000000004
5-10%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,0,0.0
5-10%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,0,0.0
5-10%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,0,0.0
5-10%,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,0,0.0
5-10%,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,0,0.0
5-10%,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,0,0.0
5-10%,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,0,0.0
5-10%,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,0,0.0
5-10%,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,0,0.0
5-10%,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,0,0.0
5-10%,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,0,0.0
5-10%,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,0,0.0
5-10%,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,0,0.0
5-10%,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,0,0.0
5-10%,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,0,0.0
5-10%,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,0,0.0
5-10%,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,0,0.0
5-10%,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,0,0.0
5-10%,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,0,0.0
5-10%,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,0,0.0
5-10%,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,0,0.0
5-10%,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,0,0.0
5-10%,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,0,0.0
5-10%,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,0,0.0
5-10%,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,0,0.0
5-10%,-0.1333333333333333,-0.10666666666666669,-0.12,0.026666666666666616,0,0.0
5-10%,-0.10666666666666669,-0.07999999999999996,-0.09333333333333332,0.026666666666666727,0,0.0
5-10%,-0.07999999999999996,-0.053333333333333344,-0.06666666666666665,0.026666666666666616,0,0.0
5-10%,-0.053333333333333344,-0.026666666666666616,-0.03999999999999998,0.026666666666666727,0,0.0
5-10%,-0.026666666666666616,0.0,-0.013333333333333308,0.026666666666666616,0,0.0
5-10%,0.0,0.026666666666666727,0.013333333333333364,0.026666666666666727,0,0.0
5-10%,0.026666666666666727,0.053333333333333344,0.040000000000000036,0.026666666666666616,0,0.0
5-10%,0.053333333333333344,0.07999999999999996,0.06666666666666665,0.026666666666666616,0,0.0
5-10%,0.07999999999999996,0.10666666666666669,0.09333333333333332,0.026666666666666727,0,0.0
5-10%,0.10666666666666669,0.1333333333333333,0.12,0.026666666666666616,0,0.0
5-10%,0.1333333333333333,0.16000000000000003,0.14666666666666667,0.026666666666666727,0,0.0
5-10%,0.16000000000000003,0.18666666666666665,0.17333333333333334,0.026666666666666616,0,0.0
5-10%,0.18666666666666665,0.21333333333333337,0.2,0.026666666666666727,0,0.0
5-10%,0.21333333333333337,0.24,0.22666666666666668,0.026666666666666616,0,0.0
5-10%,0.24,0.2666666666666666,0.2533333333333333,0.026666666666666616,0,0.0
5-10%,0.2666666666666666,0.29333333333333345,0.28,0.02666666666666684,0,0.0
5-10%,0.29333333333333345,0.32000000000000006,0.30666666666666675,0.026666666666666616,0,0.0
5-10%,0.32000000000000006,0.3466666666666667,0.33333333333333337,0.026666666666666616,0,0.0
5-10%,0.3466666666666667,0.3733333333333333,0.36,0.026666666666666616,0,0.0
5-10%,0.3733333333333333,0.40000000000000013,0.3866666666666667,0.02666666666666684,0,0.0
5-10%,0.40000000000000013,0.42666666666666675,0.41333333333333344,0.026666666666666616,0,0.0
5-10%,0.42666666666666675,0.45333333333333337,0.44000000000000006,0.026666666666666616,0,0.0
5-10%,0.45333333333333337,0.48,0.4666666666666667,0.026666666666666616,0,0.0
5-10%,0.48,0.5066666666666666,0.4933333333333333,0.026666666666666616,0,0.0
5-10%,0.5066666666666666,0.5333333333333334,0.52,0.02666666666666684,0,0.0
5-10%,0.5333333333333334,0.56,0.5466666666666667,0.026666666666666616,0,0.0
5-10%,0.56,0.5866666666666667,0.5733333333333334,0.026666666666666616,0,0.0
5-10%,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,0,0.0
5-10%,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,0,0.0
5-10%,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,0,0.0
5-10%,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,0,0.0
5-10%,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,0,0.0
5-10%,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,0,0.0
5-10%,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,0,0.0
5-10%,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,0,0.0
10-30%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,31,290.62500000000057
10-30%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,46,431.24999999999903
10-30%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,57,534.375000000001
10-30%,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,43,403.1249999999991
10-30%,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,48,450.00000000000085
10-30%,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,63,590.6249999999986
10-30%,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,53,496.8750000000009
10-30%,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,56,524.9999999999987
10-30%,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,55,515.625000000001
10-30%,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,56,525.000000000001
10-30%,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,51,478.1249999999989
10-30%,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,56,524.9999999999999
10-30%,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,56,524.9999999999999
10-30%,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,51,478.1249999999999
10-30%,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,49,459.3749999999999
10-30%,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,63,590.6249999999999
10-30%,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,50,468.7499999999999
10-30%,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,55,515.6249999999999
10-30%,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,61,571.8749999999999
10-30%,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,58,543.750000000001
10-30%,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,48,449.999999999999
10-30%,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,65,609.3750000000011
10-30%,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,69,646.8749999999985
10-30%,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,74,693.7500000000014
10-30%,-0.16000000000000003,-0.1333333333333333,-0.14666666666666667,0.026666666666666727,68,637.4999999999985
