centrality,bin_low,bin_high,bin_center,bin_width,counts,dN_deta
0-5%,0.5866666666666667,0.6133333333333333,0.6,0.026666666666666616,460,1150.0000000000023
0-5%,0.6133333333333333,0.6400000000000001,0.6266666666666667,0.02666666666666684,478,1194.9999999999923
0-5%,0.6400000000000001,0.6666666666666667,0.6533333333333334,0.026666666666666616,461,1152.5000000000023
0-5%,0.6666666666666667,0.6933333333333334,0.68,0.026666666666666616,487,1217.5000000000023
0-5%,0.6933333333333334,0.72,0.7066666666666667,0.026666666666666616,476,1190.0000000000023
0-5%,0.72,0.7466666666666668,0.7333333333333334,0.02666666666666684,457,1142.4999999999925
0-5%,0.7466666666666668,0.7733333333333334,0.7600000000000001,0.026666666666666616,426,1065.000000000002
0-5%,0.7733333333333334,0.8,0.7866666666666667,0.026666666666666616,471,1177.5000000000023
5-10%,-0.8,-0.7733333333333334,-0.7866666666666667,0.026666666666666616,265,414.06250000000074
5-10%,-0.7733333333333334,-0.7466666666666667,-0.76,0.026666666666666727,267,417.18749999999903
5-10%,-0.7466666666666667,-0.7200000000000001,-0.7333333333333334,0.026666666666666616,274,428.1250000000008
5-10%,-0.7200000000000001,-0.6933333333333334,-0.7066666666666668,0.026666666666666727,301,470.3124999999989
5-10%,-0.6933333333333334,-0.6666666666666667,-0.68,0.026666666666666616,281,439.06250000000085
5-10%,-0.6666666666666667,-0.64,-0.6533333333333333,0.026666666666666727,262,409.37499999999903
5-10%,-0.64,-0.6133333333333334,-0.6266666666666667,0.026666666666666616,267,417.1875000000008
5-10%,-0.6133333333333334,-0.5866666666666667,-0.6000000000000001,0.026666666666666727,286,446.874999999999
5-10%,-0.5866666666666667,-0.56,-0.5733333333333334,0.026666666666666616,286,446.8750000000008
5-10%,-0.56,-0.5333333333333334,-0.5466666666666667,0.026666666666666616,301,470.31250000000085
5-10%,-0.5333333333333334,-0.5066666666666667,-0.52,0.026666666666666727,297,464.0624999999989
5-10%,-0.5066666666666667,-0.48000000000000004,-0.4933333333333334,0.026666666666666672,307,479.6874999999999
5-10%,-0.48000000000000004,-0.45333333333333337,-0.4666666666666667,0.026666666666666672,307,479.6874999999999
5-10%,-0.45333333333333337,-0.4266666666666667,-0.44000000000000006,0.026666666666666672,338,528.1249999999999
5-10%,-0.4266666666666667,-0.4,-0.41333333333333333,0.026666666666666672,295,460.9374999999999
5-10%,-0.4,-0.37333333333333335,-0.3866666666666667,0.026666666666666672,309,482.8124999999999
5-10%,-0.37333333333333335,-0.3466666666666667,-0.36,0.026666666666666672,299,467.18749999999994
5-10%,-0.3466666666666667,-0.32,-0.33333333333333337,0.026666666666666672,326,509.37499999999994
5-10%,-0.32,-0.29333333333333333,-0.30666666666666664,0.026666666666666672,317,495.31249999999994
5-10%,-0.29333333333333333,-0.2666666666666667,-0.28,0.026666666666666616,328,512.5000000000009
5-10%,-0.2666666666666667,-0.24,-0.25333333333333335,0.026666666666666727,297,464.0624999999989
5-10%,-0.24,-0.21333333333333337,-0.22666666666666668,0.026666666666666616,374,584.3750000000011
5-10%,-0.21333333333333337,-0.18666666666666665,-0.2,0.026666666666666727,367,573.4374999999986
5-10%,-0.18666666666666665,-0.16000000000000003,-0.17333333333333334,0.026666666666666616,335,523.437500000001
