delta_eta_center,delta_phi_center,pair_counts
-1.538930917953226,2.3125612588924866,125.0
-1.538930917953226,2.399827721492203,134.0
-1.538930917953226,2.4870941840919194,99.0
-1.538930917953226,2.574360646691636,110.0
-1.538930917953226,2.661627109291352,111.0
-1.538930917953226,2.7488935718910685,114.0
-1.538930917953226,2.8361600344907854,108.0
-1.538930917953226,2.923426497090502,102.0
-1.538930917953226,3.0106929596902186,108.0
-1.538930917953226,3.097959422289935,100.0
-1.4989625413849816,-3.097959422289935,190.0
-1.4989625413849816,-3.0106929596902186,165.0
-1.4989625413849816,-2.923426497090502,188.0
-1.4989625413849816,-2.8361600344907854,182.0
-1.4989625413849816,-2.748893571891069,168.0
-1.4989625413849816,-2.6616271092913526,191.0
-1.4989625413849816,-2.574360646691636,175.0
-1.4989625413849816,-2.4870941840919194,173.0
-1.4989625413849816,-2.399827721492203,171.0
-1.4989625413849816,-2.3125612588924866,183.0
-1.4989625413849816,-2.2252947962927703,144.0
-1.4989625413849816,-2.138028333693054,154.0
-1.4989625413849816,-2.0507618710933375,175.0
-1.4989625413849816,-1.9634954084936207,188.0
-1.4989625413849816,-1.8762289458939043,187.0
-1.4989625413849816,-1.7889624832941877,180.0
-1.4989625413849816,-1.7016960206944713,182.0
-1.4989625413849816,-1.6144295580947547,185.0
-1.4989625413849816,-1.5271630954950384,168.0
-1.4989625413849816,-1.439896632895322,177.0
-1.4989625413849816,-1.3526301702956054,183.0
-1.4989625413849816,-1.2653637076958888,177.0
-1.4989625413849816,-1.1780972450961724,169.0
-1.4989625413849816,-1.090830782496456,197.0
-1.4989625413849816,-1.0035643198967397,177.0
-1.4989625413849816,-0.9162978572970231,185.0
-1.4989625413849816,-0.8290313946973065,185.0
-1.4989625413849816,-0.7417649320975901,172.0
-1.4989625413849816,-0.6544984694978737,187.0
-1.4989625413849816,-0.5672320068981571,174.0
-1.4989625413849816,-0.4799655442984405,173.0
-1.4989625413849816,-0.39269908169872414,177.0
